query,timestamp,instagramUrl,description,title,error
Pepperdine Accounting Society,2025-08-10T01:22:10.336Z,https://www.instagram.com/pepperdine_accounting/,Welcome to the Official Instagram of Pepperdine's Accounting Society! Integrity | Knowledge | Professionalism,Pepperdine Accounting Society (@pepperdine_accounting),
,2025-08-10T01:22:10.336Z,,,,Empty line
Pepperdine Advertising Club,2025-08-10T01:22:12.652Z,https://www.instagram.com/peppgraphic/,"Student-run newspaper covering Pepperdine, Malibu and the surrounding communities since 1938. X & FB: @PeppGraphic. linkin.bio/peppgraphic. Follow. Message.",Pepperdine Graphic (@peppgraphic),
,2025-08-10T01:22:12.652Z,,,,Empty line
Pepperdine Art History Student Society,2025-08-10T01:22:15.692Z,https://www.instagram.com/peppstudentactivities/,"At Pepperdine, you will have opportunities to explore and strengthen your faith both inside and outside of the classroom. Be prepared to join a community that ...",Pepperdine Student Activities (@peppstudentactivities),
,2025-08-10T01:22:15.693Z,,,,Empty line
Pepperdine Chemistry Club,2025-08-10T01:22:18.106Z,https://www.instagram.com/pepperdinechemclub/,"Premiering on June 18th, viewers get an exclusive look at the lives of chemists here at Pepperdine! From researching in the lab, to taking summer classes, ...",Pepperdine Chemistry Club (@pepperdinechemclub),
,2025-08-10T01:22:18.465Z,,,,Empty line
Pepperdine Coding Club,2025-08-10T01:22:23.873Z,https://www.instagram.com/baylor_ecs/,"Providing superior education through instruction, scholarship & service with a Christian worldview. www.ecs.baylor.edu + 2.",Baylor Engineering & Computer Science (@baylor_ecs),
,2025-08-10T01:22:23.874Z,,,,Empty line
Pepperdine Future Teachers Club,2025-08-10T01:22:28.119Z,https://www.instagram.com/yana54lv/,"Yana Wilson, 2023 @MizuhoLPGA champion, makes history as the first player to win the tournament as a junior and return to compete as a professional.",yana wilson (@yana54lv) • Instagram photos and videos,
,2025-08-10T01:22:28.120Z,,,,Empty line
Pepperdine Math Club,2025-08-10T01:22:32.130Z,https://www.instagram.com/pepperdinemathclub/,"Welcome to Pepperdine Math Club's Instagram! On here we'll share information about our events, cool faculty & student spotlights and math content! 👩🏫. Follow.",Pepperdine Math Club (@pepperdinemathclub),
,2025-08-10T01:22:32.258Z,,,,Empty line
Pepperdine Mock Trial,2025-08-10T01:22:35.607Z,https://www.instagram.com/peppmocktrial/,"Photo by Pepperdine Mock Trial on September 13, 2024. Join us next Monday from 6:30 to 8:30 at Caruso School of Law -Room A for our first meeting of the year!",Pepperdine Mock Trial (@peppmocktrial),
,2025-08-10T01:22:35.608Z,,,,Empty line
Pepperdine Model United Nations,2025-08-10T01:22:38.016Z,https://www.instagram.com/pepperdinemun/,"Pepperdine's MUN team had a successful year traveling and competing in Erfurt, Montreal, and Chicago. We couldn't be more proud of our delegation's growth. Best ...",Pepperdine Model UN (@pepperdinemun),
,2025-08-10T01:22:38.017Z,,,,Empty line
Pepperdine National Society of Leadership and Success (NSLS),2025-08-10T01:22:42.670Z,https://www.instagram.com/pepperdinensls/?hl=es,"The National Society of Leadership and Success A community dedicated to helping students succeed, unlocking their full potential as leaders!",The NSLS @ Pepperdine⚜️🧡 (@pepperdinensls),
,2025-08-10T01:22:42.827Z,,,,Empty line
Pepperdine Psi Chi Psychology Honor Society,2025-08-10T01:22:44.990Z,https://www.instagram.com/psichiwaves/,"Psi Chi International Honors Society ⚡️Pepperdine Seaver College Chapter⚡️ ✨ Psychology Club ✨ · Photo shared by Pepperdine Psi Chi on May 05, 2025 tagging @anna.",Pepperdine Psi Chi (@psichiwaves),
,2025-08-10T01:22:44.991Z,,,,Empty line
Pepperdine Alpha Tau Omega (ATO),2025-08-10T01:22:47.756Z,https://www.instagram.com/atopepperdine/,ALPHA TAU OMEGA Sorority & Fraternity Pepperdine University ATO Est. 1865 | Kappa Epsilon Chapter law.pepperdine.edu/global-justice/about,atopepperdine - Alpha Tau Omega,
,2025-08-10T01:22:47.756Z,,,,Empty line
